Model,Model_Type,Question_ID,Complexity,Bytes_Processed_MB,Slot_Seconds,Execution_Time_S,Bytes_Shuffled_B,Bytes_Spilled_B,Correct,Cost_USD
Opus 4.5 Thinking,Reasoning,S1,Simple,175.63,2.52,0.415,9,0,Y,0.0011
Opus 4.5 Thinking,Reasoning,S2,Simple,735.38,7.75,0.941,674,0,Y,0.0046
Opus 4.5 Thinking,Reasoning,S3,Simple,175.63,1.15,0.308,9,0,Y,0.0011
Opus 4.5 Thinking,Reasoning,S4,Simple,604.2,7.75,1.35,1340,0,Y,0.0038
Opus 4.5 Thinking,Reasoning,S5,Simple,735.38,19.26,4.8,342940000,0,Y,0.0046
Opus 4.5 Thinking,Reasoning,S6,Simple,2070,13.2,0.66,164150,0,Y,0.0129
Opus 4.5 Thinking,Reasoning,S7,Simple,259.58,2.22,0.208,1005,0,Y,0.0016
Opus 4.5 Thinking,Reasoning,S8,Simple,16020,90,1.37,149620,0,Y,0.1001
Opus 4.5 Thinking,Reasoning,S9,Simple,0,0.36,0.194,180,0,Y,0.0000
Opus 4.5 Thinking,Reasoning,S10,Simple,2160,145,12.67,4180000000,0,Y,0.0135
Opus 4.5 Thinking,Reasoning,M1,Medium,864.78,50.14,1.14,1150000000,0,Y,0.0054
Opus 4.5 Thinking,Reasoning,M2,Medium,2070,14.18,0.327,169740,0,Y,0.0129
Opus 4.5 Thinking,Reasoning,M3,Medium,1390,11.64,2.2,6720000,0,Y,0.0087
Opus 4.5 Thinking,Reasoning,M4,Medium,351.26,3.66,0.402,270,0,Y,0.0022
Opus 4.5 Thinking,Reasoning,M5,Medium,2850,147,1.58,4220000000,0,Y,0.0178
Opus 4.5 Thinking,Reasoning,M6,Medium,1010,63.56,5.01,1480000000,0,Y,0.0063
Opus 4.5 Thinking,Reasoning,M7,Medium,2400,31.02,5.07,2124000,0,Y,0.0150
Opus 4.5 Thinking,Reasoning,M8,Medium,2320,50.63,0.935,43130,0,Y,0.0145
Opus 4.5 Thinking,Reasoning,M9,Medium,1350,105.32,8.71,2190000000,0,Y,0.0084
Opus 4.5 Thinking,Reasoning,M10,Medium,351.26,20.3,0.371,649020,0,Y,0.0022
Opus 4.5 Thinking,Reasoning,C1,Complex,1270,95.07,3.15,2330000000,0,Y,0.0079
Opus 4.5 Thinking,Reasoning,C2,Complex,1520,82.97,2.62,1680000000,0,Y,0.0095
Opus 4.5 Thinking,Reasoning,C3,Complex,2650,163,11.25,5000000000,0,Y,0.0166
Opus 4.5 Thinking,Reasoning,C4,Complex,175.63,22.27,1.98,6000,0,Y,0.0011
Opus 4.5 Thinking,Reasoning,C5,Complex,1600,100.39,1.07,2460000000,0,Y,0.0100
Opus 4.5 Thinking,Reasoning,C6,Complex,2150,148.74,8.63,3560000000,0,Y,0.0134
Opus 4.5 Thinking,Reasoning,C7,Complex,2130,135.74,9.37,3600000000,0,Y,0.0133
Opus 4.5 Thinking,Reasoning,C8,Complex,351.26,5.18,0.529,540,0,Y,0.0022
Opus 4.5 Thinking,Reasoning,C9,Complex,1770,211.07,2.64,2540000000,0,Y,0.0111
Opus 4.5 Thinking,Reasoning,C10,Complex,2150,215.2,2.8,6860000000,0,Y,0.0134
Sonnet 4.5,Standard,S1,Simple,175.63,2.02,0.36,9,0,Y,0.0011
Sonnet 4.5,Standard,S2,Simple,735.38,11.02,1.07,674,0,Y,0.0046
Sonnet 4.5,Standard,S3,Simple,175.63,1.72,0.372,9,0,Y,0.0011
Sonnet 4.5,Standard,S4,Simple,604.2,8.67,1.52,1340,0,Y,0.0038
Sonnet 4.5,Standard,S5,Simple,735.38,21.81,5.02,342940000,0,Y,0.0046
Sonnet 4.5,Standard,S6,Simple,2660,17.91,0.407,214520,0,Y,0.0166
Sonnet 4.5,Standard,S7,Simple,259.58,2.15,0.237,1005,0,Y,0.0016
Sonnet 4.5,Standard,S8,Simple,16020,164,2.71,149620,0,Y,0.1001
Sonnet 4.5,Standard,S9,Simple,0,0.351,0.216,180,0,Y,0.0000
Sonnet 4.5,Standard,S10,Simple,2750,175,12.96,5260000000,0,Y,0.0172
Sonnet 4.5,Standard,M1,Medium,864.78,49.33,1.12,1150000000,0,Y,0.0054
Sonnet 4.5,Standard,M2,Medium,2660,17.63,0.51,222540,0,Y,0.0166
Sonnet 4.5,Standard,M3,Medium,1730,12.97,1.41,11500000,0,Y,0.0108
Sonnet 4.5,Standard,M4,Medium,351.26,4.14,0.524,270,0,Y,0.0022
Sonnet 4.5,Standard,M5,Medium,3020,150,1.66,4520000000,0,Y,0.0189
